ISO_Code;Country;Hip hop/Rap/R&b;EDM;Pop;Rock/Metal;Latin/Reggaeton;Other
36;australia;31;150;65;170;0;8
124;canada;39;120;64;140;0;10
156;china;11;230;108;40;0;21
356;india;25;10;39;0;0;55
484;mexico;38;0;18;20;570;43
643;russia;27;90;48;90;20;9
840;usa;49;20;33;130;190;11
170;colombia;50;0;22;0;860;3
250;france;47;60;50;70;10;22
380;italy;47;70;35;20;0;9
392;japan;0;10;63;160;0;17
608;philippines;21;0;35;30;0;19
724;spain;54;0;22;0;380;18
826;united_kingdom;30;250;71;170;0;11
630;puerto_rico;158;10;40;0;2190;14
32;argentina;59;0;29;0;320;8
276;germany;41;180;33;30;20;12
376;israel;11;0;25;50;0;8
500;paraguay;55;0;22;0;660;6
32;argentina;59;0;29;0;320;8
276;germany;41;180;33;30;20;12
376;israel;11;0;25;50;0;8
500;paraguay;55;0;22;0;660;6
410;south_korea;11;0;35;10;0;1
158;taiwan;3;0;60;20;0;21
804;ukraine;23;0;26;80;0;15
152;chile;46;0;14;0;460;31
214;dominican_republic;53;0;13;0;830;5
360;indonesia;5;0;32;0;0;19
604;peru;52;0;25;20;720;8
764;thailand;7;0;38;40;0;1
792;turkey;26;0;8;20;0;7
862;venezuela;45;0;25;0;630;6
208;denmark;16;80;36;70;0;5
818;egypt;52;0;26;50;0;6
344;hong_kong;2;0;74;10;0;4
372;ireland;24;310;79;90;0;10
504;morocco;52;10;40;20;0;16
528;netherlands;13;390;63;70;0;12
578;norway;13;180;44;50;0;12
620;portugal;13;70;28;40;0;46
704;vietnam;19;0;35;20;0;19
68;bolivia;51;0;29;20;720;8
100;bulgaria;30;70;52;170;0;20
188;costa_rica;51;0;25;20;770;9
218;ecuador;51;0;23;0;820;3
222;el_salvador;51;0;17;0;810;7
300;greece;47;0;10;0;0;10
320;guatemala;42;0;17;0;710;24
340;honduras;50;0;17;0;860;7
458;malaysia;9;20;59;30;0;12
591;panama;50;0;20;0;730;4
616;poland;38;90;21;60;0;5
752;sweden;31;170;61;40;0;10
40;austria;28;170;28;60;20;12
246;finland;27;50;53;70;0;4
348;hungary;18;210;33;90;20;8
352;iceland;22;40;47;110;20;38
440;lithuania;22;180;41;110;0;12
554;new_zealand;44;40;48;200;0;10
558;nicaragua;51;0;15;0;830;7
642;romania;8;70;18;40;0;4
702;singapore;12;30;60;40;0;9
710;south_africa;46;40;59;40;0;21
756;switzerland;39;250;59;60;20;13
858;uruguay;50;0;30;0;320;5
203;czech_republic;42;210;36;170;20;9
360;indonesia;2;0;27;0;0;21
496;mongolia;108;0;113;160;0;17
586;pakistan;32;10;39;10;0;28
608;philippines;24;20;37;0;0;23
682;saudi_arabia;11;70;57;120;0;19
76;brazil;9;0;20;20;0;78
